team,track,Sui Wallet Address,
Pandora Finance,Consumer & Mobile,0x3d486edcbf26558a9af7aa668f197186c810dea4b4cb4a87aaa19cab9454f645,
Pandora Finance,Consumer & Mobile,0xabb8d342106e6428ab1eae85fe53b7438c76d94b99e87a4e980b0325b921b1e9,
Pandora Finance,Consumer & Mobile,0xfbc49d25108333d1c32917152cb9933df8d27f12118d8867e9c4fdaf938643eb,
Pandora Finance,Consumer & Mobile,0x1d644e1b65f35c8adfea07965e6ed12496238eca0d2bfe55e8097ce9a252c4fe,
Pandora Finance,Consumer & Mobile,0x504e35e0f9b48e9c7ba14aa43b2213cbbc12c686c05d41ca3c96d364718e96da,
Pandora Finance,Consumer & Mobile,0x9e316458169b0fa9138e94aff9be698ad4306c20d0fae32236de58f67ee69c37,
Pandora Finance,Consumer & Mobile,0x2c421d2868a95d0cf4510f5cb0f3adc4d3d5a30bc3333e7c5d9a98a4f115484e,
Sui Wormhole Native Token Transfer,Multichain,0x7e3b752c4c49fda9af01caeb34ec39475f3d7f9002ee06e53fa275421d7b7f2c,
Kraken,Infra & Tooling,0xfcd5f2eee4ca6d81d49c85a1669503b7fc8e641b406fe7cdb696a67ef861492c,
Kraken,Infra & Tooling,0xed7ba9119e330d5032637eb573a4078e6c80c2ae17e3c77382a90fc2fe640f92,
Kraken,Infra & Tooling,0x108cc8b76eae3aed5f1bc70f9a116c26550d7291e48bdc8bd6a28fe74490bbb7,
PinataBot,ZkLogin,0x45e4cc7a708312ae2f35c06cbc81f9a7a492fa6e87fd0e51f0f967eeb0e84ec8,
PinataBot,ZkLogin,0xbfa592bb480ab82022b716ee1d754b36799d9890559620b64c30127695c87c13,
PinataBot,ZkLogin,0xb74d6d702f6b7b9d831570536829742130f09a740c30e0b895b4a9beacb97d62,
PinataBot,ZkLogin,0x0c95c6fd367b2da73cbc2f5933a4475365c6b6c5eb596a0263487d6367f678bd,
Sui DApp Starter,Randomness,0xa9f5456414a7e7ad647b352f95c62fc2880682ad32ae6652688d9b9d5d76b0ab,
Promise,Advanced Move,0x612f497e6402a3a6c6d2ab6848d1a416a70d7692aaaa0d8ec51e45dbc8de1000,
Promise,Advanced Move,0xc91278c46ee4c191ceabf8fbe5258c684a92cd5c90cedf1a5683e3f86369fad7,
Promise,Advanced Move,0x60d77da60ae13c4efa2cb3760a5437a9c1ce516b342add272b429392fc6dea2e,
AresRPG,Gaming,0x306e427a52f9bebf4533343f9af02f81bb2e41001f984bed4a2e58ddb254cab3,
