team,track,Sui Wallet Address,
stream.gift,Consumer & Mobile,0x0b14ea45f57e13df1c40425e1d2089649837e72c9920eb25f657c88c14c3e5df,
stream.gift,Consumer & Mobile,0x881987981648e8db4d0e1afc62a1bf8de7655076623e13c7fdc77835a2813771,
stream.gift,Consumer & Mobile,0xe228dea39a1a0d7ab5c33e6fa29910cfb711a0741ac64a6d0ddc8920693eb3b4,
BioWallet,Randomness,0x4cd18b666bedd2b9a0acfa1df4b9900384954fd9ae229562d525d4e79467fb41,
SuiGPT,Infra & Tooling,0x96d9a120058197fce04afcffa264f2f46747881ba78a91beb38f103c60e315ae,
SuiGPT,Infra & Tooling,0x7e9530205b2c1633010f07bd4c16146b59e74f652be812d65507ff697e5708e5,
SuiGPT,Infra & Tooling,0x93a9f9010dfd90f1f9be77715d25e39ea499e3760849bb3b6cafba9a8368f7ea,
SuiGPT,Infra & Tooling,0xa6b351d8ab671b834161355cff22ad654e9dd43740535a0233ad27cbd1a1440e,
LiquidLink,ZkLogin,0x4afccc9ea14fd4002f1bf5e0b66b75db7f6bb345d9b8654d23df411ea93e5c91,
LiquidLink,ZkLogin,0x10e37594c6e280d66678eba1185eaf00eb326933f0adbb1a1d84b8c74c4e0633,
LiquidLink,ZkLogin,0x1ef9cb55999574d3b52ee2b9b695fc2fa7b680fa3119ffd050e3f504a78406b9,
LiquidLink,ZkLogin,0x96d9a120058197fce04afcffa264f2f46747881ba78a91beb38f103c60e315ae,
Wormhole Kit,Multichain,0x84dc3b2dcf706a775de5788bdb689c58155617c676f64c61a4bdcdc7c23521f9,
Wormhole Kit,Multichain,0xb2c16052a9d44929cf1624ba14a577211a1dcb57f0979f9ff87b871ae28d1edc,
Aeon,DeFi,0x693eba48b2364b8f052113b9b8441c2c652aea86ef611ef5e309d15fa263878f,
Aeon,DeFi,0x7399775447b2418d49894d10a45f9f54222052fabaef87d724b9d0dd0b1b282a,
Aeon,DeFi,0x24232380b55305ed1c3cf5dcebbfc5e0d7a62eccf12972f3cf2e7792a0384881,
Su Protocol,Advanced Move,0xed7ba9119e330d5032637eb573a4078e6c80c2ae17e3c77382a90fc2fe640f92,
Su Protocol,Advanced Move,0xc23ea8e493616b1510d9405ce05593f8bd1fb30f44f92303ab2c54f6c8680ecb,
Wagmi Kitchen,Gaming,0x8b512e14f8bd338c4fec4ca3432a39cc9089f8dbb10e1d52c09b2f702e41ec16,
