team,track,Sui Wallet Address,
Sui Metadata,Advanced Move,0x9e40f545a7d69f1d59c84357a1cf33951bac6f60a9fb6b66e6669188beb4b3a7,
Sui Metadata,Advanced Move,0x1dcd0e20b63c6dd56be985b6f8b421a2e84b0c6b5438abb4402299eef7bf5a22,
Sui Autochess,Randomness,0xbe379359ac6e9d0fc0b867f147f248f1c2d9fc019a9a708adfcbe15fc3130c18,
Sui Autochess,Randomness,0x157b2d3e6ef7bec33c2af349732178a5916467b655d9b91b1da274c00e6be4f1,
Sui Simulator,Advanced Move,0x174f69980b11fe112a69e08dc0f7a0239c790bddc7ea519074e4bb760dfb0b1d,
Sui Simulator,Advanced Move,0xb4b291607e91da4654cab88e5e35ba2921ef68f1b43725ef2faeae045bf5915d,
Sui Simulator,Advanced Move,0xf73ba580489ff35889382352bdbe8d1a684cd7a58859530164398e55dde6fedc,
Sui Simulator,Advanced Move,0x172b713baf8845ee6595629d4f5b0f3b6907986c58a34934cce16b6ae09f360e,
Sui Simulator,Advanced Move,0x80d6241496f68b205dee09025b156ee6f6a944d88a5238cdf05d148a05bf399a,
Sui Wallet Bot,Multichain,0xd6e894a7b15d4c054bb95918c96e98b56df815456e345f737a19252e28abc86c,
WebAuthn on Sui,ZkLogin,0x84dc3b2dcf706a775de5788bdb689c58155617c676f64c61a4bdcdc7c23521f9,
WebAuthn on Sui,ZkLogin,0xb2c16052a9d44929cf1624ba14a577211a1dcb57f0979f9ff87b871ae28d1edc,
Shall We Move,Gaming,0xa2fb876c75ffd1763ff768763e9cff2c289dd8eff2763d32e40a9b32e993d96a,
Shall We Move,Gaming,0x63caf24ab6dfc41c44fd67e7e117e2f0a4ef0f636fed9ddddde2f1bd230bae8e,
Shall We Move,Gaming,0x23783da5dc20d618f66d23c28a96bc8cf11aca7365cb183290c130c24fe3467e,
Shall We Move,Gaming,0xd6185442d3f4fa55c90409718fed1ff45b6027257e80c0d74e9d8919d5bbaa73,
Shall We Move,Gaming,0x934b2c6bb03811c0d59da7272710a67341f02ee604dbb16185cc606fcbd5bc70,
Shall We Move,Gaming,0x7bbc329dfd56ee727533887d82e414b5d61c6653a2684d32ff1739830521939f,
Shio,DeFi,0x824b071a26730de34222865bfc247c3b0303f35ddfb55466aa7532810c3b4e0b,
Shio,DeFi,0xe031fe6d48424dd5b741cb2b8be3546c792395b438a255aab4aa41c55cbcba98,
